Index,IssueAge,CTP,TBL1CTP,MTP,TBL1MTP
13404,52,,,13.450000,
13404,53,,,14.340000,
13404,54,,,15.330000,
13404,55,,,16.470000,
13404,56,,,17.689000,
13404,57,,,18.970000,
13404,58,,,20.410000,
13404,59,,,22.069000,
13404,60,,,23.730000,
13404,61,,,25.320000,
13404,62,,,27.130000,
13404,63,,,29.370000,
13404,64,,,32.250000,
13404,65,,,35.839000,
13404,66,,,38.590000,
13404,67,,,41.299000,
13404,68,,,44.149000,
13404,69,,,47.539000,
13404,70,,,51.130000,
13404,71,,,54.640000,
13404,72,,,58.770000,
13404,73,,,63.319000,
13404,74,,,68.029000,
13404,75,,,73.860000,
13404,76,,,79.309000,
13404,77,,,85.729000,
13404,78,,,92.550000,
13404,79,,,99.799000,
13404,80,,,107.569000,
13405,0,,,0.001000,
13405,1,,,0.001000,
13405,2,,,0.001000,
13405,3,,,0.001000,
13405,4,,,0.001000,
13405,5,,,0.001000,
13405,6,,,0.001000,
13405,7,,,0.001000,
13405,8,,,0.001000,
13405,9,,,0.001000,
13405,10,,,0.001000,
13405,11,,,0.001000,
13405,12,,,0.001000,
13405,13,,,0.001000,
13405,14,,,0.001000,
13405,15,,,3.360000,
13405,16,,,3.409000,
13405,17,,,3.439000,
13405,18,,,3.450000,
13405,19,,,3.450000,
13405,20,,,3.460000,
13405,21,,,3.460000,
13405,22,,,3.460000,
13405,23,,,3.460000,
13405,24,,,3.460000,
13405,25,,,3.480000,
13405,26,,,3.499000,
13405,27,,,3.550000,
13405,28,,,3.610000,
13405,29,,,3.670000,
13405,30,,,3.739000,
13405,31,,,3.829000,
13405,32,,,3.940000,
13405,33,,,4.039000,
13405,34,,,4.170000,
13405,35,,,4.300000,
13405,36,,,4.450000,
13405,37,,,4.609000,
13405,38,,,4.789000,
13405,39,,,4.980000,
13405,40,,,5.170000,
13405,41,,,5.400000,
13405,42,,,5.640000,
13405,43,,,5.920000,
13405,44,,,6.199000,
13405,45,,,6.660000,
13405,46,,,7.020000,
13405,47,,,7.399000,
13405,48,,,7.819000,
13405,49,,,8.299000,
13405,50,,,8.800000,
13405,51,,,9.360000,
13405,52,,,9.979000,
13405,53,,,10.639000,
13405,54,,,11.359000,
13405,55,,,12.120000,
13405,56,,,12.979000,
13405,57,,,13.849000,
13405,58,,,14.850000,
13405,59,,,15.870000,
13405,60,,,17.050000,
13405,61,,,18.259000,
13405,62,,,19.740000,
13405,63,,,21.480000,
13405,64,,,23.860000,
13405,65,,,26.959000,
13405,66,,,28.710000,
13405,67,,,30.510000,
13405,68,,,32.560000,
13405,69,,,34.900000,
13405,70,,,37.140000,
13405,71,,,39.910000,
13405,72,,,42.790000,
13405,73,,,46.030000,
13405,74,,,49.669000,
13405,75,,,53.779000,
13405,76,,,57.739000,
13405,77,,,62.620000,
13405,78,,,67.810000,
13405,79,,,72.930000,
13405,80,,,78.400000,
13406,15,,0.430000,6.480000,
13406,16,,0.460000,6.540000,
13406,17,,0.480000,6.550000,
13406,18,,0.490000,6.529000,
13406,19,,0.510000,6.660000,
13406,20,,0.520000,6.840000,
13406,21,,0.530000,7.030000,
13406,22,,0.540000,7.240000,
13406,23,,0.540000,7.469000,
13406,24,,0.550000,7.720000,
13406,25,,0.550000,7.980000,
13406,26,,0.560000,8.269000,
13406,27,,0.560000,8.569000,
13406,28,,0.570000,8.899000,
13406,29,,0.590000,9.250000,
13406,30,,0.610000,9.610000,
13406,31,,0.630000,9.990000,
13406,32,,0.660000,10.390000,
13406,33,,0.700000,10.789000,
13406,34,,0.740000,11.209000,
13406,35,,0.800000,11.629000,
13406,36,,0.870000,12.150000,
13406,37,,0.950000,12.679000,
13406,38,,1.040000,13.240000,
13406,39,,1.150000,13.819000,
13406,40,,1.270000,14.449000,
13406,41,,1.410000,15.130000,
13406,42,,1.570000,15.870000,
13406,43,,1.750000,16.690000,
13406,44,,1.950000,17.580000,
13406,45,,2.170000,18.580000,
13406,46,,2.420000,19.660000,
13406,47,,2.690000,20.850000,
13406,48,,2.990000,22.140000,
13406,49,,3.310000,23.539000,
13406,50,,3.670000,25.030000,
13406,51,,4.060000,25.609000,
13406,52,,4.480000,26.299000,
13406,53,,4.930000,27.079000,
13406,54,,5.400000,27.960000,
13406,55,,5.900000,28.920000,
13406,56,,6.430000,31.050000,
13406,57,,7.010000,33.180000,
13406,58,,7.630000,35.320000,
13406,59,,8.300000,37.450000,
13406,60,,9.020000,39.580000,
13406,61,,9.400000,41.929000,
13406,62,,9.800000,44.680000,
13406,63,,10.210000,47.940000,
13406,64,,10.640000,51.769000,
13406,65,,11.090000,56.700000,
13406,66,,12.040000,60.649000,
13406,67,,13.050000,64.350000,
13406,68,,14.090000,68.760000,
13406,69,,15.190000,73.350000,
13406,70,,16.350000,78.180000,
13406,71,,17.560000,82.470000,
13406,72,,18.850000,87.610000,
13406,73,,20.230000,93.370000,
13406,74,,21.710000,99.480000,
13406,75,,23.290000,105.559000,
13406,76,,24.930000,112.159000,
13406,77,,26.670000,119.179000,
13406,78,,28.480000,126.139000,
13406,79,,30.340000,133.540000,
13406,80,,32.310000,140.839000,
13407,0,,,0.001000,
13407,1,,,0.001000,
13407,2,,,0.001000,
13407,3,,,0.001000,
13407,4,,,0.001000,
13407,5,,,0.001000,
13407,6,,,0.001000,
13407,7,,,0.001000,
13407,8,,,0.001000,
13407,9,,,0.001000,
13407,10,,,0.001000,
13407,11,,,0.001000,
13407,12,,,0.001000,
13407,13,,,0.001000,
13407,14,,,0.001000,
13407,15,,0.430000,5.590000,
13407,16,,0.460000,5.689000,
13407,17,,0.480000,5.740000,
13407,18,,0.490000,5.760000,
13407,19,,0.510000,5.770000,
13407,20,,0.520000,5.770000,
13407,21,,0.530000,5.770000,
13407,22,,0.540000,5.770000,
13407,23,,0.540000,5.770000,
13407,24,,0.550000,5.770000,
13407,25,,0.550000,5.809000,
13407,26,,0.560000,5.869000,
13407,27,,0.560000,5.970000,
13407,28,,0.570000,6.109000,
13407,29,,0.590000,6.270000,
13407,30,,0.610000,6.460000,
13407,31,,0.630000,6.670000,
13407,32,,0.660000,6.889000,
13407,33,,0.700000,7.159000,
13407,34,,0.740000,7.450000,
13407,35,,0.800000,7.770000,
13407,36,,0.870000,8.130000,
13407,37,,0.950000,8.539000,
13407,38,,1.040000,8.989000,
13407,39,,1.150000,9.460000,
13407,40,,1.270000,10.000000,
13407,41,,1.410000,10.579000,
13407,42,,1.570000,11.220000,
13407,43,,1.750000,11.980000,
13407,44,,1.950000,12.750000,
13407,45,,2.170000,13.750000,
13407,46,,2.420000,14.670000,
13407,47,,2.690000,15.690000,
13407,48,,2.990000,16.780000,
13407,49,,3.310000,18.000000,
13407,50,,3.670000,19.320000,
13407,51,,4.060000,20.730000,
13407,52,,4.480000,22.330000,
13407,53,,4.930000,24.049000,
13407,54,,5.400000,25.900000,
13407,55,,5.900000,27.790000,
13407,56,,6.430000,29.809000,
13407,57,,7.010000,31.980000,
13407,58,,7.630000,34.290000,
13407,59,,8.300000,36.859000,
13407,60,,9.020000,39.580000,
13407,61,,9.400000,41.929000,
13407,62,,9.800000,44.680000,
13407,63,,10.210000,47.940000,
13407,64,,10.640000,51.769000,
13407,65,,11.090000,56.700000,
13407,66,,12.040000,60.649000,
13407,67,,13.050000,64.350000,
13407,68,,14.090000,68.760000,
13407,69,,15.190000,73.350000,
13407,70,,16.350000,78.180000,
13407,71,,17.560000,82.470000,
13407,72,,18.850000,87.610000,
13407,73,,20.230000,93.370000,
13407,74,,21.710000,99.480000,
13407,75,,23.290000,105.559000,
13407,76,,24.930000,112.159000,
13407,77,,26.670000,119.179000,
13407,78,,28.480000,126.139000,
13407,79,,30.340000,133.540000,
13407,80,,32.310000,140.839000,
13408,0,,,0.001000,
13408,1,,,0.001000,
13408,2,,,0.001000,
13408,3,,,0.001000,
13408,4,,,0.001000,
13408,5,,,0.001000,
13408,6,,,0.001000,
13408,7,,,0.001000,
13408,8,,,0.001000,
13408,9,,,0.001000,
13408,10,,,0.001000,
13408,11,,,0.001000,
13408,12,,,0.001000,
13408,13,,,0.001000,
13408,14,,,0.001000,
13408,15,,0.420000,4.699000,
13408,16,,0.440000,4.800000,
13408,17,,0.460000,4.860000,
13408,18,,0.470000,4.900000,
13408,19,,0.480000,4.920000,
13408,20,,0.490000,4.930000,
13408,21,,0.500000,4.939000,
13408,22,,0.500000,4.950000,
13408,23,,0.500000,4.950000,
13408,24,,0.500000,4.969000,
13408,25,,0.500000,5.010000,
13408,26,,0.500000,5.070000,
13408,27,,0.510000,5.160000,
13408,28,,0.520000,5.260000,
13408,29,,0.530000,5.400000,
13408,30,,0.540000,5.539000,
13408,31,,0.560000,5.710000,
13408,32,,0.590000,5.920000,
13408,33,,0.620000,6.160000,
13408,34,,0.660000,6.420000,
13408,35,,0.720000,6.690000,
13408,36,,0.780000,7.000000,
13408,37,,0.850000,7.360000,
13408,38,,0.930000,7.729000,
13408,39,,1.030000,8.149000,
13408,40,,1.140000,8.620000,
13408,41,,1.260000,9.130000,
13408,42,,1.400000,9.690000,
13408,43,,1.550000,10.339000,
13408,44,,1.730000,11.029000,
13408,45,,1.920000,11.920000,
13408,46,,2.130000,12.750000,
13408,47,,2.360000,13.630000,
13408,48,,2.610000,14.560000,
13408,49,,2.880000,15.630000,
13408,50,,3.180000,16.759000,
13408,51,,3.510000,18.049000,
13408,52,,3.860000,19.350000,
13408,53,,4.230000,20.800000,
13408,54,,4.630000,22.420000,
13408,55,,5.050000,24.100000,
13408,56,,5.490000,25.810000,
13408,57,,5.970000,27.619000,
13408,58,,6.500000,29.560000,
13408,59,,7.060000,31.759000,
13408,60,,7.670000,34.050000,
13408,61,,8.000000,36.120000,
13408,62,,8.340000,38.580000,
13408,63,,8.690000,41.320000,
13408,64,,9.050000,44.929000,
13408,65,,9.430000,49.309000,
13408,66,,10.250000,52.530000,
13408,67,,11.130000,56.340000,
13408,68,,12.050000,59.880000,
13408,69,,13.030000,64.129000,
13408,70,,14.090000,68.050000,
13408,71,,15.200000,72.720000,
13408,72,,16.400000,77.560000,
13408,73,,17.700000,82.560000,
13408,74,,19.090000,88.510000,
13408,75,,20.590000,94.470000,
13408,76,,22.150000,100.399000,
13408,77,,23.820000,106.800000,
13408,78,,25.570000,114.210000,
13408,79,,27.380000,121.120000,
13408,80,,29.310000,128.370000,
13409,0,,0.200000,4.150000,
13409,1,,0.080000,4.090000,
13409,2,,0.080000,4.080000,
13409,3,,0.070000,4.090000,
13409,4,,0.060000,4.099000,
13409,5,,0.060000,4.110000,
13409,6,,0.060000,4.150000,
13409,7,,0.070000,4.180000,
13409,8,,0.070000,4.219000,
13409,9,,0.080000,4.260000,
13409,10,,0.090000,4.309000,
13409,11,,0.090000,4.350000,
13409,12,,0.100000,4.399000,
13409,13,,0.110000,4.440000,
13409,14,,0.110000,4.489000,
13409,15,,0.120000,4.519000,
13409,16,,0.120000,4.530000,
13409,17,,0.120000,4.540000,
13409,18,,0.130000,4.540000,
13409,19,,0.130000,4.540000,
13409,20,,0.130000,4.549000,
13409,21,,0.130000,4.699000,
13409,22,,0.130000,4.849000,
13409,23,,0.140000,4.999000,
13409,24,,0.140000,5.170000,
13409,25,,0.140000,5.350000,
13409,26,,0.150000,5.509000,
13409,27,,0.150000,5.680000,
13409,28,,0.160000,5.869000,
13409,29,,0.170000,6.070000,
13409,30,,0.180000,6.280000,
13409,31,,0.190000,6.499000,
13409,32,,0.210000,6.730000,
13409,33,,0.230000,6.970000,
13409,34,,0.250000,7.230000,
13409,35,,0.270000,7.489000,
13409,36,,0.290000,7.810000,
13409,37,,0.320000,8.130000,
13409,38,,0.350000,8.479000,
13409,39,,0.380000,8.830000,
