idx	letter	header	formula	val_r12
181	FY	vGIR_Units	=IF(AND(sGIR_Change_Date<>"",vDate>=sGIR_Change_Date),sGIR_Change_Units,IF(sINPUT_GIR_Boolean,IF(vAttainedAge>=sRates_GIO_PayupAge,0,sINPUT_GIR_Units),0))	0
182	FZ	vGIO_Change	=IF(OR(FX12<>FX11,FY12<>FY11),vAttainedAge<sRates_GIO_PayupAge,FALSE)	False
183	GA	Accidential Death Benefit / vADB_Active	=GB12>0	False
184	GB	vADB_Units	=_xlfn.SINGLE(IF(AND(sADB_Change_Date<>"",_xlfn.SINGLE(vDate)>=sADB_Change_Date),sADB_Change_Units,IF(sINPUT_ADB_Boolean,IF(_xlfn.SINGLE(vAttainedAge)>=sRates_ADB_PayupAge,0,sINPUT_ADB_Units),0)))	0
185	GC	vADB_Change	=IF(OR(GA12<>GA11,GB12<>GB11),vAttainedAge<sRates_ADB_PayupAge,FALSE)	False
186	GD	Childresn Term Rider / vCTR_Active	=GE12>0	False
187	GE	vCTR_Units	=IF(vAttainedAge>=MIN(sINPUT_CTR_CeaseAge,sRates_CTR_BenefitCeaseAge),0,IF(AND(sCTR_Change_Date<>0,sCTR_Change_Date<>"",vDate>=sCTR_Change_Date),sCTR_Change_Units,IF(sINPUT_CTR_Boolean,sINPUT_CTR_Units,0)))	0
188	GF	vCTR_Change	=AND(OR(GD12<>GD11,GE12<>GE11),vAttainedAge<sRates_CTR_BenefitCeaseAge)	False
189	GG	Shadow Benefit (CCV) / vCCV_Active	=IF(vAttainedAge>=121,FALSE,IF(AND(sINPUT_CCV_Change_Date<>"",vDate>=sINPUT_CCV_Change_Date),FALSE,UPPER(TRIM(sShadowBenefit))="TRUE"))	False
190	GH	vCCV_Change	=AND(GG12<>GG11,vAttainedAge<sRates_CCV_BenefitCeaseAge)	False
191	GI	vCCV_Units	=IF(GG12,vCurrentSA/1000,0)	0
192	GJ	vCOLA_Active	=IF(vAttainedAge<65,GJ11,FALSE)	False
193	GK	Term Rider 1 / vR1_Active	=GP12>0	False
194	GL	R1 Duration	=IF(sINPUT_R1_Boolean,IF(vInforceValuationDate,sRider1_InforceDuration,IF(vAnniversary,GL11+1,GL11)),0)	0
195	GM	R1 Att Age	=sINPUT_R1_Issue_Age+GL12-1	31
